method,side,wind_state,intensity_year_inv,ci_low,ci_high,bandwidth,local_exposure_years,local_observations,weighted_event_count_proxy,monotone_increasing_projection
corrected low-price negative spikes,negative,0.5364096500000005,8.689074869748513,2.6089107638613145,14.769238975635712,0.25,2.4001788300167566,11078,5.213833388700247,8.689074869748513
corrected low-price negative spikes,negative,0.5409088777777783,8.93987922481058,2.692145582100964,15.187612867520198,0.25,2.3603737326949767,10903,5.275364023927106,8.93987922481058
corrected low-price negative spikes,negative,0.5454081055555561,9.190585339729276,2.77491781292471,15.606252866533843,0.25,2.3210743587291742,10724,5.33300799343947,9.190585339729276
corrected low-price negative spikes,negative,0.5499073333333339,9.441982241143075,2.857526928903111,16.02643755338304,0.25,2.282067116423581,10565,5.386809296592009,9.441982241143075
corrected low-price negative spikes,negative,0.5544065611111116,9.741062750748648,2.986706651471117,16.49541885002618,0.25,2.243464284202836,10402,5.463431592870806,9.741062750748648
corrected low-price negative spikes,negative,0.5589057888888894,10.04108052908715,3.1150202012302897,16.96714085694401,0.25,2.2052134226729687,10231,5.535681390220795,10.04108052908715
corrected low-price negative spikes,negative,0.5634050166666672,10.342451591016003,3.2426414605017406,17.442261721530265,0.25,2.167207122732689,10064,5.603558688641978,10.342451591016003
corrected low-price negative spikes,negative,0.567904244444445,10.644975830813564,3.3695485103620806,17.92040315126505,0.25,2.129479137652955,9886,5.667063488134355,10.644975830813564
corrected low-price negative spikes,negative,0.5724034722222228,10.948604167979662,3.4957591075615833,18.40144922839774,0.25,2.0920276962591386,9740,5.726195788697924,10.948604167979662
corrected low-price negative spikes,negative,0.5769027000000005,11.252932076640587,3.6211702409458857,18.884693912335287,0.25,2.054915305970109,9563,5.780955590332686,11.252932076640587
corrected low-price negative spikes,negative,0.5814019277777783,11.55673166022468,3.745402591393389,19.36806072905597,0.25,2.01833634784777,9391,5.831342893038643,11.55673166022468
corrected low-price negative spikes,negative,0.5859011555555561,11.859186262683552,3.8681954687686524,19.850177056598454,0.25,1.9823814439308205,9208,5.877357696815793,11.859186262683552
corrected low-price negative spikes,negative,0.5904003833333339,12.160735137141309,3.9896900374304476,20.33178023685217,0.25,1.946921772380793,9036,5.919000001664136,12.160735137141309
corrected low-price negative spikes,negative,0.5948996111111117,12.46153086479409,4.109932533172909,20.81312919641527,0.25,1.9118902395567243,8870,5.956269807583672,12.46153086479409
